id,PTRATIO,B,LSTAT,MEDV
292,0.0792,0.1014,-0.2509,37.3000
293,0.0792,0.1014,-0.2195,27.9000
294,-0.2612,0.1014,-0.1124,23.9000
295,-0.2612,0.1014,-0.0622,21.7000
296,-0.2612,0.1014,-0.1761,28.6000
297,-0.2612,0.0912,-0.1452,27.1000
298,-0.2612,0.1014,0.0879,20.3000
299,-0.3889,0.0292,-0.2120,22.5000
300,-0.3889,0.0376,-0.2184,29.0000
301,-0.3889,0.0862,-0.1817,24.8000
302,-0.2506,0.0985,-0.0870,22.0000
303,-0.2506,0.0679,-0.1099,26.4000
304,-0.2506,0.0851,-0.2150,33.1000
305,-0.0059,0.0933,-0.1579,36.1000
306,-0.0059,0.0925,-0.1027,28.4000
307,-0.0059,0.1014,-0.1706,33.4000
308,-0.0059,0.1014,-0.1414,28.2000
309,-0.0059,0.1014,-0.2239,22.8000
310,-0.0059,0.0998,-0.0740,20.3000
311,-0.0059,-0.0157,-0.0004,16.1000
312,-0.0059,0.1014,-0.1841,22.1000
313,-0.0059,0.0999,-0.0257,19.4000
314,-0.0059,0.0926,-0.1312,21.6000
315,-0.0059,0.0984,-0.0931,23.8000
316,-0.0059,0.1002,-0.0318,16.2000
317,-0.0059,0.0858,0.1566,17.8000
318,-0.0059,0.1014,0.0907,19.8000
319,-0.0059,0.0972,-0.0633,23.1000
320,-0.0059,0.0997,0.0021,21.0000
321,0.1218,0.1014,-0.1505,23.8000
322,0.1218,0.1014,-0.1596,23.1000
323,0.1218,0.1014,-0.1367,20.4000
324,0.1218,0.0869,-0.0252,18.5000
325,0.1218,0.1014,-0.1803,25.0000
326,0.1218,0.0933,-0.2090,24.6000
327,0.1218,0.1014,-0.1794,23.0000
328,0.1218,0.1014,0.0038,22.2000
329,-0.1655,0.0650,-0.0740,19.3000
330,-0.1655,0.0467,-0.1466,22.6000
331,-0.1655,0.0300,-0.0983,19.8000
332,-0.1655,0.0942,-0.0062,17.1000
333,-0.1655,0.0141,-0.1331,19.4000
334,0.1856,0.0833,-0.1924,22.2000
335,0.1856,0.0825,-0.1629,20.7000
336,0.1856,0.1014,-0.1281,21.1000
337,0.1856,0.1014,-0.0787,19.5000
338,0.1856,0.0962,-0.0578,18.5000
339,0.1856,0.0995,-0.1143,20.6000
340,0.1856,0.1014,-0.0804,19.0000
341,0.1856,0.1014,-0.0928,18.7000
342,-0.3144,0.0960,-0.1977,32.7000
343,-0.2719,0.0839,-0.1105,16.5000
344,-0.0910,0.1014,-0.1510,23.9000
345,-0.0910,0.0789,-0.2219,31.2000
346,0.0366,0.0730,-0.0586,17.5000
347,0.0366,0.0200,0.0005,17.2000
348,-0.0591,0.0902,-0.1736,23.1000
349,-0.1548,0.0864,-0.1839,24.5000
350,0.1324,0.0837,-0.1866,26.6000
351,0.1324,0.1014,-0.1841,22.9000
352,-0.0165,0.0356,-0.1977,24.1000
353,-0.0165,0.0899,-0.1342,18.6000
354,-0.1548,0.0701,-0.2250,30.1000
355,0.3771,0.0659,-0.1270,18.2000
356,0.3771,0.0488,-0.1954,20.6000
357,0.1856,0.0531,0.1365,17.8000
358,0.1856,0.0874,0.0170,21.7000
359,0.1856,0.0977,-0.0324,22.7000
360,0.1856,0.0859,0.0005,22.6000
361,0.1856,0.0451,-0.1342,25.0000
362,0.1856,-0.0152,0.0424,19.9000
363,0.1856,0.0608,-0.0680,20.8000
364,0.1856,-0.0092,0.0548,16.8000
365,0.1856,-0.0054,-0.2032,21.9000
366,0.1856,-0.0050,-0.1527,27.5000
367,0.1856,-0.1025,0.0372,21.9000
368,0.1856,-0.5680,0.0187,23.1000
369,0.1856,0.0475,-0.2592,50.0000
370,0.1856,0.0470,-0.2462,50.0000
371,0.1856,0.0892,-0.2675,50.0000
372,0.1856,0.0239,-0.0862,50.0000
373,0.1856,-0.0222,-0.1041,50.0000
374,0.1856,0.1014,0.6103,13.8000
375,0.1856,0.1014,0.6986,13.8000
376,0.1856,0.1014,0.0217,15.0000
377,0.1856,0.0160,0.2921,13.9000
378,0.1856,0.1014,0.2369,13.3000
379,0.1856,0.1014,0.3046,13.1000
380,0.1856,0.0935,0.2518,10.2000
381,0.1856,0.1014,0.1257,10.4000
382,0.1856,0.1014,0.2325,10.9000
383,0.1856,0.1014,0.3021,11.3000
384,0.1856,0.1014,0.3286,12.3000
385,0.1856,-0.1786,0.4961,8.8000
386,0.1856,0.1014,0.5010,7.2000
387,0.1856,0.1014,0.4312,10.5000
388,0.1856,0.1014,0.5336,7.4000
389,0.1856,0.0410,0.4958,10.2000
390,0.1856,0.1014,0.2262,11.5000
391,0.1856,0.0952,0.1230,15.1000
392,0.1856,0.0547,0.1685,23.2000
393,0.1856,0.1014,0.3595,9.7000
394,0.1856,0.1014,0.0695,13.8000
395,0.1856,0.1014,0.1020,12.7000
396,0.1856,0.0890,0.1233,13.1000
397,0.1856,0.1014,0.1853,12.5000
398,0.1856,0.0919,0.2005,8.5000
399,0.1856,0.1014,0.4949,5.0000
400,0.1856,-0.0467,0.4778,6.3000
401,0.1856,0.1014,0.3895,5.6000
402,0.1856,0.1014,0.2116,7.2000
403,0.1856,0.0490,0.2113,12.1000
404,0.1856,0.1014,0.1964,8.3000
