id,RM,AGE,DIS,RAD,TAX
65,-0.0687,0.0250,-0.0806,0.6283,0.4919
66,-0.1095,-0.1223,-0.0883,0.6283,0.4919
67,-0.0225,0.1589,-0.0693,0.6283,0.4919
68,-0.0107,0.2279,-0.0633,0.6283,0.4919
69,0.0292,0.0662,-0.0817,0.6283,0.4919
70,0.1332,-0.0100,-0.1148,0.6283,0.4919
71,-0.1643,0.2763,-0.1241,0.6283,0.4919
72,-0.0235,0.2969,-0.1445,0.6283,0.4919
73,0.0382,0.2577,-0.1355,0.6283,0.4919
74,-0.1879,0.2958,-0.1541,0.6283,0.4919
75,-0.0191,0.2897,-0.1477,0.6283,0.4919
76,-0.0107,0.2001,-0.1677,0.6283,0.4919
77,-0.0082,-0.0399,-0.0337,0.6283,0.4919
78,0.0892,0.0651,-0.0421,0.6283,0.4919
79,0.1488,0.0868,-0.0350,0.6283,0.4919
80,-0.1001,-0.2912,0.0276,0.6283,0.4919
81,-0.0793,-0.2747,-0.0065,0.6283,0.4919
82,0.0052,-0.1717,0.0179,0.6283,0.4919
83,-0.0327,0.1156,-0.0227,0.6283,0.4919
84,-0.0727,-0.1583,-0.0584,0.6283,0.4919
85,-0.1592,0.2485,-0.1795,-0.2413,0.5778
86,-0.1668,0.3061,-0.1855,-0.2413,0.5778
87,-0.2283,0.3030,-0.1794,-0.2413,0.5778
88,-0.0578,0.3113,-0.1752,-0.2413,0.5778
89,-0.0578,0.1537,-0.1532,-0.2413,0.5778
90,-0.1107,-0.1501,-0.1285,-0.1543,-0.0329
91,-0.0687,-0.2675,-0.1285,-0.1543,-0.0329
92,-0.1178,-0.4096,-0.0906,-0.1543,-0.0329
93,-0.1714,0.0445,-0.0906,-0.1543,-0.0329
94,-0.0940,0.0209,-0.0821,-0.1543,-0.0329
95,-0.0509,-0.0337,-0.1260,-0.1543,-0.0329
96,-0.1371,0.0507,-0.1269,-0.1543,-0.0329
97,-0.0494,0.1146,-0.1179,-0.1543,-0.0329
98,0.0591,0.0054,-0.1197,-0.3717,-0.2581
99,-0.0315,0.0837,-0.1371,-0.3717,-0.2581
100,0.1325,0.2309,-0.1480,-0.3717,-0.2581
101,0.0976,0.2134,-0.1279,-0.3717,-0.2581
102,-0.0488,0.1259,-0.1173,-0.3717,-0.2581
