id,RM,AGE,DIS,RAD,TAX
65,0.1570,-0.0935,0.4936,-0.2848,-0.3669
66,0.0010,-0.5229,0.2561,-0.2413,-0.1359
67,-0.0954,-0.3859,0.2561,-0.2413,-0.1359
68,-0.0779,-0.4858,0.2458,-0.2413,-0.1207
69,-0.1323,-0.3272,0.2458,-0.2413,-0.1207
70,-0.0766,-0.3664,0.2458,-0.2413,-0.1207
71,0.0254,-0.6383,0.1357,-0.2413,-0.1970
72,-0.0620,-0.5260,0.1357,-0.2413,-0.1970
73,-0.0421,-0.6259,0.1357,-0.2413,-0.1970
74,-0.0076,-0.6424,0.1357,-0.2413,-0.1970
75,-0.0022,-0.6444,0.0415,-0.1978,-0.0195
76,0.0003,-0.2428,0.0643,-0.1978,-0.0195
77,-0.0011,0.0610,0.0234,-0.1978,-0.0195
78,-0.0277,-0.2346,0.0269,-0.1978,-0.0195
79,-0.0101,-0.1532,0.1109,-0.1978,-0.0195
80,-0.0787,-0.3293,0.0643,-0.1978,-0.0195
81,0.0848,-0.3612,0.1460,-0.2413,-0.2428
82,0.0641,0.0188,0.1460,-0.2413,-0.2428
83,0.0033,-0.3746,0.1460,-0.2413,-0.2428
84,-0.0225,-0.2253,0.1460,-0.2413,-0.2428
85,0.0200,-0.2119,0.0895,-0.2848,-0.3077
86,0.0662,-0.1285,0.0584,-0.2848,-0.3077
87,-0.0517,-0.2418,0.0575,-0.2848,-0.3077
88,-0.0314,-0.1213,-0.0043,-0.2848,-0.3077
89,0.1384,0.1825,-0.0339,-0.3282,-0.2638
90,0.1522,-0.0564,-0.0346,-0.3282,-0.2638
91,0.0254,-0.0255,-0.0639,-0.3282,-0.2638
92,0.0231,0.0548,-0.0639,-0.3282,-0.2638
93,0.0302,-0.1542,-0.0117,-0.2413,-0.2638
94,-0.0141,-0.4086,-0.0117,-0.2413,-0.2638
95,-0.0068,0.0899,-0.0164,-0.2413,-0.2638
96,0.0652,-0.1110,-0.0273,-0.3282,-0.2524
97,-0.0233,0.0106,-0.0273,-0.3282,-0.2524
98,0.3419,0.0765,-0.0273,-0.3282,-0.2524
99,0.2942,-0.3262,-0.0273,-0.3282,-0.2524
100,0.2168,-0.0626,-0.0273,-0.3282,-0.2524
101,0.0848,0.1166,-0.0925,-0.1978,-0.0463
102,0.0951,0.0281,-0.0854,-0.1978,-0.0463
103,0.0231,0.1733,-0.0982,-0.1978,-0.0463
104,-0.0283,0.1939,-0.0982,-0.1978,-0.0463
105,-0.0225,0.2206,-0.1249,-0.1978,-0.0463
106,-0.0831,0.2897,-0.1535,-0.1978,-0.0463
107,-0.0860,0.2402,-0.1440,-0.1978,-0.0463
108,-0.0302,0.1712,-0.1521,-0.1978,-0.0463
109,0.0363,0.2938,-0.1239,-0.1978,-0.0463
110,-0.0107,0.2330,-0.1137,-0.1978,-0.0463
111,-0.0172,-0.1460,-0.0925,-0.1978,-0.0463
112,0.0825,0.1341,-0.1016,-0.1543,0.0453
113,-0.0712,0.2505,-0.1311,-0.1543,0.0453
114,-0.0369,0.2763,-0.1134,-0.1543,0.0453
115,-0.0059,0.1609,-0.1399,-0.1543,0.0453
116,-0.0683,0.2021,-0.1211,-0.1543,0.0453
117,-0.0208,0.0404,-0.0968,-0.1543,0.0453
118,-0.0505,0.1444,-0.0953,-0.1543,0.0453
119,-0.0791,0.0466,-0.1198,-0.1543,0.0453
120,-0.1061,-0.0348,-0.0942,-0.1543,0.0453
121,-0.0794,0.0116,-0.1398,-0.3282,-0.4203
122,-0.0538,0.1599,-0.1453,-0.3282,-0.4203
123,-0.0620,0.2505,-0.1553,-0.3282,-0.4203
124,-0.0821,0.2927,-0.1683,-0.3282,-0.4203
125,-0.0777,0.2804,-0.1627,-0.3282,-0.4203
126,-0.0572,0.2042,-0.1639,-0.3282,-0.4203
127,-0.1287,0.2783,-0.1853,-0.3282,-0.4203
128,-0.1134,0.2824,-0.1825,-0.2413,0.0549
129,0.0280,0.3113,-0.1803,-0.2413,0.0549
130,-0.1241,0.2691,-0.1651,-0.2413,0.0549
131,0.0332,0.3123,-0.1525,-0.2413,0.0549
132,0.0079,0.2999,-0.1386,-0.2413,0.0549
133,0.0167,0.3020,-0.1335,-0.2413,0.0549
134,-0.0886,0.2763,-0.1205,-0.2413,0.0549
135,-0.1011,0.3072,-0.1318,-0.2413,0.0549
136,0.0097,0.3051,-0.1532,-0.2413,0.0549
137,-0.0657,0.2567,-0.1662,-0.2413,0.0549
138,0.0325,0.3072,-0.1769,-0.2413,0.0549
139,-0.0819,0.3051,-0.1934,-0.2413,0.0549
140,-0.0256,0.3020,-0.1934,-0.2413,0.0549
141,-0.0212,0.2577,-0.1985,-0.2413,0.0549
142,-0.2425,0.3236,-0.2142,-0.2413,0.0549
143,-0.1689,0.3236,-0.2249,-0.1978,-0.0100
144,-0.1565,0.3236,-0.2167,-0.1978,-0.0100
145,-0.2647,0.3010,-0.2227,-0.1978,-0.0100
146,-0.0296,0.3236,-0.2161,-0.1978,-0.0100
147,-0.1258,0.3236,-0.2072,-0.1978,-0.0100
148,-0.2603,0.2794,-0.2123,-0.1978,-0.0100
149,-0.2105,0.2598,-0.2060,-0.1978,-0.0100
150,-0.1318,0.2711,-0.2064,-0.1978,-0.0100
151,-0.0312,0.2958,-0.1980,-0.1978,-0.0100
152,-0.1687,0.3236,-0.2004,-0.1978,-0.0100
153,-0.2438,0.2001,-0.1987,-0.1978,-0.0100
154,-0.1103,0.3082,-0.1975,-0.1978,-0.0100
155,-0.0298,0.2824,-0.1860,-0.1978,-0.0100
156,-0.0254,0.1444,-0.1864,-0.1978,-0.0100
157,-0.1940,0.2618,-0.1872,-0.1978,-0.0100
158,0.1261,0.2969,-0.1744,-0.1978,-0.0100
159,-0.0419,0.3236,-0.1853,-0.1978,-0.0100
160,0.0432,0.3236,-0.1845,-0.1978,-0.0100
161,-0.0066,0.2474,-0.1816,-0.1978,-0.0100
162,0.2308,0.2289,-0.1659,-0.1978,-0.0100
163,0.2907,0.3051,-0.1595,-0.1978,-0.0100
164,0.4005,0.2608,-0.1485,-0.1978,-0.0100
165,-0.0825,0.2392,-0.1249,-0.1978,-0.0100
166,-0.0352,0.2515,-0.1375,-0.1978,-0.0100
167,0.3151,0.2845,-0.1591,-0.1978,-0.0100
168,-0.0781,0.1094,-0.1245,-0.1978,-0.0100
169,0.0066,0.2835,-0.1541,-0.1978,-0.0100
170,0.0225,0.2742,-0.1394,-0.1978,-0.0100
171,-0.0785,0.2680,-0.1245,-0.1978,-0.0100
172,-0.0775,0.2958,-0.1279,-0.1978,-0.0100
173,-0.1365,0.2052,-0.1090,-0.1978,-0.2142
174,0.0252,0.1599,-0.1045,-0.1978,-0.2142
175,-0.0816,0.0013,-0.0994,-0.1978,-0.2142
176,0.0501,-0.3653,-0.0603,-0.1978,-0.2142
177,-0.0507,-0.2201,-0.0218,-0.1978,-0.2142
178,0.0058,0.0497,-0.0434,-0.1978,-0.2142
179,0.1102,0.0600,-0.0800,-0.1978,-0.2142
180,0.1332,-0.1048,-0.0878,-0.2848,-0.4108
181,0.2836,0.1516,-0.0958,-0.2848,-0.4108
182,-0.0269,-0.0657,-0.1089,-0.2848,-0.4108
183,0.1668,0.2433,-0.0995,-0.2848,-0.4108
184,0.0533,0.2783,-0.0862,-0.2848,-0.4108
185,-0.1304,0.2186,-0.0734,-0.2848,-0.4108
186,-0.0252,0.0023,-0.0469,-0.2848,-0.4108
187,0.2963,-0.1542,-0.0542,-0.2848,-0.4108
188,0.0953,-0.2830,-0.0006,-0.1978,-0.0195
189,0.0520,-0.4065,0.0702,-0.1978,-0.0195
190,0.1725,-0.3056,0.0702,-0.1978,-0.0195
191,0.1277,-0.4848,0.2441,-0.1978,-0.0195
192,0.0871,-0.3890,0.2441,-0.1978,-0.0195
193,0.1712,-0.4354,0.2441,-0.1978,-0.0195
194,0.0987,-0.6043,0.2205,-0.3717,-0.2734
195,0.0612,-0.5126,0.2205,-0.3717,-0.2734
196,0.3047,-0.3767,0.1685,-0.2413,-0.2924
197,0.1921,-0.3550,0.3195,-0.3282,-0.1512
198,0.1576,-0.3293,0.3195,-0.3282,-0.1512
199,0.1896,-0.3118,0.3195,-0.3282,-0.1512
200,0.1323,-0.5487,0.3509,-0.2848,-0.0119
201,0.1629,-0.5631,0.3509,-0.2848,-0.0119
202,-0.0235,-0.3108,0.2251,-0.3282,-0.1150
203,0.2540,-0.5445,0.2251,-0.3282,-0.1150
204,0.3005,-0.3643,0.1203,-0.2413,-0.3516
205,0.3352,-0.3777,0.1203,-0.2413,-0.3516
206,-0.0754,-0.4766,0.0137,-0.2413,-0.2505
207,0.0079,-0.1655,0.0509,-0.2413,-0.2505
208,-0.0961,0.0425,0.0509,-0.2413,-0.2505
209,-0.0423,-0.0976,0.0404,-0.2413,-0.2505
210,-0.1802,0.3236,0.0073,-0.2413,-0.2505
211,-0.0622,0.2423,0.0075,-0.2413,-0.2505
212,-0.1687,0.2062,-0.0118,-0.2413,-0.2505
213,-0.0915,-0.1522,-0.0130,-0.2413,-0.2505
214,0.0173,-0.3736,0.0137,-0.2413,-0.2505
215,-0.1672,-0.6053,-0.0189,-0.2413,-0.2505
216,-0.0197,-0.2696,0.0137,-0.2413,-0.2505
217,-0.0760,-0.1295,-0.0621,-0.1978,-0.2524
218,0.0685,0.1702,-0.0340,-0.1978,-0.2524
219,-0.0639,0.2598,-0.0824,-0.1978,-0.2524
220,0.0169,0.2454,-0.0393,-0.1978,-0.2524
221,0.1277,0.2052,-0.0849,-0.0674,-0.1932
222,-0.0231,0.2340,-0.0679,-0.0674,-0.1932
223,0.1139,0.0940,-0.0476,-0.0674,-0.1932
224,0.0639,0.1259,-0.0476,-0.0674,-0.1932
225,0.3796,0.1002,-0.0819,-0.0674,-0.1932
226,0.4676,0.1486,-0.0819,-0.0674,-0.1932
227,0.3363,0.1846,-0.0527,-0.0674,-0.1932
228,0.1683,0.1166,-0.0527,-0.0674,-0.1932
229,0.2685,-0.5312,-0.0382,-0.0674,-0.1932
230,0.0512,-0.4858,-0.0382,-0.0674,-0.1932
231,-0.0582,-0.0049,-0.0112,-0.0674,-0.1932
232,0.2160,0.0857,-0.0112,-0.0674,-0.1932
233,0.3932,0.0487,0.0039,-0.0674,-0.1932
234,0.3760,0.0188,-0.0130,-0.0674,-0.1932
235,0.0846,-0.0214,-0.0130,-0.0674,-0.1932
236,-0.0381,-0.0729,-0.0130,-0.0674,-0.1932
237,0.0664,0.0816,0.0321,-0.0674,-0.1932
238,0.2057,0.0312,0.0321,-0.0674,-0.1932
239,0.0376,-0.5157,0.2178,-0.1543,-0.2066
240,0.0616,-0.2716,0.2178,-0.1543,-0.2066
241,0.1173,-0.1470,0.2311,-0.1543,-0.2066
242,-0.0363,-0.0358,0.2311,-0.1543,-0.2066
243,0.0141,-0.1614,0.2947,-0.1543,-0.2066
244,0.0208,-0.6259,0.2947,-0.1543,-0.2066
245,-0.1325,0.0816,0.3783,-0.1108,-0.1493
246,-0.1302,0.0167,0.3783,-0.1108,-0.1493
247,-0.0338,-0.3468,0.3874,-0.1108,-0.1493
248,-0.0112,0.1094,0.3874,-0.1108,-0.1493
249,0.0284,-0.2006,0.3666,-0.1108,-0.1493
250,0.0830,-0.5260,0.3666,-0.1108,-0.1493
251,0.0388,-0.5723,0.3275,-0.1108,-0.1493
252,0.0294,-0.6146,0.3275,-0.1108,-0.1493
253,0.1288,-0.6362,0.4648,-0.1108,-0.1493
254,0.3783,-0.6197,0.4648,-0.1108,-0.1493
255,-0.0338,-0.3767,0.4933,-0.3717,-0.1779
256,-0.0783,-0.5095,0.4933,-0.3717,-0.1779
257,0.2241,-0.3540,0.2311,-0.2848,-0.3134
258,0.4636,0.1887,-0.1813,-0.1978,-0.2753
259,0.2009,0.3236,-0.1728,-0.1978,-0.2753
260,0.1068,0.3236,-0.1623,-0.1978,-0.2753
261,0.1760,0.1362,-0.1530,-0.1978,-0.2753
262,0.2367,0.2145,-0.1505,-0.1978,-0.2753
263,0.4049,0.2361,-0.1370,-0.1978,-0.2753
264,0.1997,0.2670,-0.1561,-0.1978,-0.2753
265,0.1765,0.2371,-0.1696,-0.1978,-0.2753
266,-0.1388,-0.0595,-0.1645,-0.1978,-0.2753
267,0.1398,0.1650,-0.1511,-0.1978,-0.2753
268,0.3856,-0.0162,-0.1249,-0.1978,-0.2753
269,0.2271,-0.1645,-0.0839,-0.1978,-0.2753
270,-0.0699,-0.0729,0.0111,-0.2848,-0.3535
271,-0.0821,-0.2727,0.0576,-0.2848,-0.3535
272,-0.0086,-0.5384,0.0576,-0.2848,-0.3535
273,0.0485,-0.1017,0.0111,-0.2848,-0.3535
274,0.2695,-0.1728,0.0520,-0.2848,-0.3535
275,0.0907,-0.3674,0.0257,-0.2413,-0.2943
276,0.1091,-0.2654,0.0429,-0.2413,-0.2943
277,0.1882,-0.2016,0.0902,-0.2413,-0.2943
278,0.1037,-0.4220,0.0971,-0.2413,-0.2943
279,0.0378,-0.3756,0.0314,-0.2413,-0.2943
280,0.1010,-0.3746,0.0278,-0.1978,-0.3669
281,0.2942,-0.0420,0.0818,-0.1978,-0.3669
282,0.1309,-0.3231,0.1318,-0.1978,-0.3669
283,0.2607,-0.1944,0.1288,-0.1978,-0.3669
284,0.3139,-0.4508,0.1900,-0.3717,-0.4012
285,0.1539,-0.4920,0.3194,-0.3717,-0.2352
286,0.0323,-0.3777,0.3194,-0.3717,-0.2066
287,-0.0105,-0.3818,0.4814,-0.3717,-0.3192
288,-0.0145,-0.3839,0.3203,-0.1543,-0.2199
289,0.0058,-0.2366,0.3203,-0.1543,-0.2199
290,0.0537,-0.4704,0.3203,-0.1543,-0.2199
291,0.1104,-0.4189,0.1202,-0.2413,-0.3115
292,0.1654,-0.4210,0.1202,-0.2413,-0.3115
293,0.0662,-0.4652,0.1202,-0.2413,-0.3115
294,-0.0302,-0.5167,0.1553,-0.2413,-0.2276
295,-0.0528,-0.2706,0.1553,-0.2413,-0.2276
296,0.0754,-0.3859,0.1969,-0.2413,-0.2276
297,0.0507,-0.1810,0.1969,-0.2413,-0.2276
298,-0.0948,-0.1089,0.2296,-0.2413,-0.2276
299,0.0116,-0.4992,0.3667,-0.1978,-0.0959
300,0.1449,-0.6032,0.3667,-0.1978,-0.0959
301,0.1124,-0.2181,0.3667,-0.1978,-0.0959
302,0.0585,-0.2902,0.1543,-0.1108,-0.1512
303,0.0403,-0.5167,0.1543,-0.1108,-0.1512
304,0.1336,-0.5239,0.1543,-0.1108,-0.1512
305,0.1823,-0.2830,0.0206,-0.1108,-0.3554
306,0.0635,-0.1079,-0.0387,-0.1108,-0.3554
307,0.2175,0.0342,-0.0633,-0.1108,-0.3554
308,0.1081,0.0178,-0.0557,-0.1108,-0.3554
309,0.0671,0.1434,-0.0434,-0.2413,-0.1989
310,-0.0599,0.0837,-0.0630,-0.2413,-0.1989
311,-0.2513,-0.3169,-0.1160,-0.2413,-0.1989
312,-0.0312,-0.1625,-0.1050,-0.2413,-0.1989
313,-0.0501,0.2248,-0.0874,-0.2413,-0.1989
314,-0.0036,0.1465,-0.0484,-0.2413,-0.1989
315,0.0541,0.1928,-0.0175,-0.2413,-0.1989
316,-0.1111,0.0940,0.0136,-0.2413,-0.1989
317,-0.0710,0.1506,0.0185,-0.2413,-0.1989
318,-0.0963,0.0322,0.0215,-0.2413,-0.1989
319,0.0187,-0.0142,-0.0239,-0.2413,-0.1989
320,-0.0329,-0.1007,0.0188,-0.2413,-0.1989
321,0.0271,-0.1676,0.0678,-0.1978,-0.2314
322,0.0175,-0.1470,0.0678,-0.1978,-0.2314
323,-0.0467,-0.1923,0.0842,-0.1978,-0.2314
324,-0.1105,0.0590,0.0842,-0.1978,-0.2314
325,0.0250,-0.2933,0.0842,-0.1978,-0.2314
326,0.0280,-0.5548,0.1474,-0.1978,-0.2314
327,0.0052,-0.4086,0.1474,-0.1978,-0.2314
328,-0.0386,-0.2562,0.1474,-0.1978,-0.2314
329,-0.0798,-0.4405,0.1291,-0.2413,0.0415
330,0.0093,-0.5291,0.1291,-0.2413,0.0415
331,-0.0269,-0.3746,0.1890,-0.2413,0.0415
332,-0.1109,-0.4137,0.2588,-0.3717,-0.1989
333,-0.0486,-0.4663,0.2588,-0.3717,-0.1989
334,0.0060,-0.3139,0.2422,-0.1978,-0.3516
335,0.0049,-0.3097,0.2422,-0.1978,-0.3516
336,-0.0474,-0.3509,0.1992,-0.1978,-0.3516
337,-0.0796,-0.2294,0.1306,-0.1978,-0.3516
338,-0.0747,-0.0924,0.1655,-0.1978,-0.3516
339,-0.0432,-0.3221,0.0925,-0.1978,-0.3516
340,-0.0574,-0.2387,0.0925,-0.1978,-0.3516
341,-0.0607,-0.1038,0.0925,-0.1978,-0.3516
342,0.1832,-0.1985,0.2949,-0.3717,-0.2371
343,0.0489,-0.0914,0.2248,-0.3717,0.0263
344,0.0788,-0.1254,0.1761,-0.1978,-0.0730
345,0.1129,-0.4168,0.2428,-0.1978,-0.0730
346,-0.0519,-0.2067,0.3836,-0.2848,-0.1073
347,-0.0741,-0.1676,0.3836,-0.2848,-0.1073
348,0.0443,-0.4210,0.4311,-0.2413,-0.1092
349,0.0671,-0.4004,0.4137,-0.2413,-0.2447
350,0.1254,-0.3509,0.4544,-0.3717,-0.1398
351,0.0393,-0.2490,0.4544,-0.3717,-0.1398
352,0.0564,-0.3365,0.6288,-0.2413,0.0053
353,-0.0768,-0.5157,0.6288,-0.2413,0.0053
354,0.0850,-0.3344,0.7576,-0.1978,-0.4222
355,-0.1191,-0.4807,0.6175,-0.2413,-0.1417
356,-0.0668,-0.5054,0.6175,-0.2413,-0.1417
357,-0.0139,0.2969,-0.1521,0.6283,0.4919
358,0.0211,0.2309,-0.1173,0.6283,0.4919
359,-0.0302,0.1527,-0.0975,0.6283,0.4919
360,-0.0331,0.1311,-0.1169,0.6283,0.4919
361,0.0217,0.2001,-0.1161,0.6283,0.4919
362,-0.0064,0.2320,-0.1364,0.6283,0.4919
363,-0.1768,0.2845,-0.1538,0.6283,0.4919
364,-0.0923,0.2104,-0.1719,0.6283,0.4919
365,0.4781,0.1475,-0.1719,0.6283,0.4919
366,-0.5219,0.1990,-0.1984,0.6283,0.4919
367,-0.2532,0.2351,-0.1858,0.6283,0.4919
368,-0.4640,0.3236,-0.2077,0.6283,0.4919
369,-0.2519,0.3236,-0.2239,0.6283,0.4919
370,0.0763,0.2907,-0.2217,0.6283,0.4919
371,0.1401,0.2979,-0.2358,0.6283,0.4919
372,-0.0132,0.3236,-0.2388,0.6283,0.4919
373,-0.0785,0.2165,-0.2424,0.6283,0.4919
374,-0.2642,0.3236,-0.2383,0.6283,0.4919
375,-0.4113,0.3236,-0.2417,0.6283,0.4919
376,0.1970,0.3020,-0.2254,0.6283,0.4919
377,0.0698,0.2546,-0.2228,0.6283,0.4919
378,0.0976,0.3113,-0.2216,0.6283,0.4919
379,0.0183,0.2845,-0.2191,0.6283,0.4919
380,-0.0118,0.3236,-0.2191,0.6283,0.4919
381,0.1309,0.2402,-0.2163,0.6283,0.4919
382,0.0499,0.3144,-0.2070,0.6283,0.4919
383,-0.1434,0.3236,-0.2014,0.6283,0.4919
384,-0.1465,0.3236,-0.2057,0.6283,0.4919
385,-0.3672,0.2330,-0.2142,0.6283,0.4919
386,-0.1931,0.3041,-0.2154,0.6283,0.4919
387,-0.3128,0.3236,-0.2117,0.6283,0.4919
388,-0.2461,0.2155,-0.2070,0.6283,0.4919
389,-0.2691,0.3236,-0.2006,0.6283,0.4919
390,-0.1714,0.3123,-0.1880,0.6283,0.4919
391,-0.1095,0.2927,-0.1699,0.6283,0.4919
392,-0.0448,0.1434,-0.1480,0.6283,0.4919
393,-0.2392,0.2927,-0.1841,0.6283,0.4919
394,-0.0176,0.2474,-0.1822,0.6283,0.4919
395,-0.0762,0.2691,-0.1830,0.6283,0.4919
396,0.0357,0.3113,-0.1882,0.6283,0.4919
397,0.0231,0.2824,-0.1926,0.6283,0.4919
398,-0.1030,0.3123,-0.1966,0.6283,0.4919
399,-0.1593,0.3236,-0.2096,0.6283,0.4919
400,-0.0829,0.0950,-0.2087,0.6283,0.4919
401,-0.0570,0.3236,-0.2006,0.6283,0.4919
402,0.0112,0.3236,-0.2020,0.6283,0.4919
403,0.0229,0.3236,-0.1961,0.6283,0.4919
404,-0.1793,0.2824,-0.1903,0.6283,0.4919
